Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 122.0.0.0,,,21-03-2024 10:06:47,21-03-2024 10:07:50,1m - 3.225s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:06:47,21-03-2024 10:06:57,9.999s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:06:48,21-03-2024 10:06:50,2.097s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:06:50,21-03-2024 10:06:51,1.147s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:06:51,21-03-2024 10:06:53,2.064s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:06:53,21-03-2024 10:06:54,0.764s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:06:54,21-03-2024 10:06:54,0.463s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:06:54,21-03-2024 10:06:57,3.116s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:06:57,21-03-2024 10:07:06,9.173s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:06:57,21-03-2024 10:06:58,0.929s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:06:58,21-03-2024 10:06:59,0.849s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:06:59,21-03-2024 10:07:02,3.201s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:02,21-03-2024 10:07:03,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:03,21-03-2024 10:07:03,0.363s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:03,21-03-2024 10:07:06,3.061s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:06,21-03-2024 10:07:14,8.013s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:06,21-03-2024 10:07:07,0.935s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:07,21-03-2024 10:07:08,0.967s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:08,21-03-2024 10:07:10,1.943s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:10,21-03-2024 10:07:11,0.662s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:11,21-03-2024 10:07:11,0.375s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:11,21-03-2024 10:07:14,3.066s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:14,21-03-2024 10:07:24,9.531s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:14,21-03-2024 10:07:15,0.883s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:15,21-03-2024 10:07:17,1.586s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:17,21-03-2024 10:07:20,2.888s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:20,21-03-2024 10:07:21,0.703s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:21,21-03-2024 10:07:21,0.389s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:21,21-03-2024 10:07:24,3.060s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:24,21-03-2024 10:07:33,8.877s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:24,21-03-2024 10:07:25,0.932s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:25,21-03-2024 10:07:26,0.858s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:26,21-03-2024 10:07:29,2.988s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:29,21-03-2024 10:07:29,0.662s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:29,21-03-2024 10:07:30,0.372s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:30,21-03-2024 10:07:33,3.045s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:33,21-03-2024 10:07:42,9.373s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:33,21-03-2024 10:07:34,0.890s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:34,21-03-2024 10:07:34,0.551s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:34,21-03-2024 10:07:38,3.732s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:38,21-03-2024 10:07:39,0.701s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:39,21-03-2024 10:07:39,0.405s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:39,21-03-2024 10:07:42,3.071s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:42,21-03-2024 10:07:50,7.787s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:42,21-03-2024 10:07:43,0.901s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:43,21-03-2024 10:07:44,0.607s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:44,21-03-2024 10:07:46,2.024s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:46,21-03-2024 10:07:47,0.731s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:47,21-03-2024 10:07:47,0.410s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:47,21-03-2024 10:07:50,3.098s,PASSED
